"","sort.unique.data1.to_station_name.."
"407","MLK Jr Dr & 47th St"
"408","MLK Jr Dr & 56th St"
"409","MLK Jr Dr & 63rd St"
"410","MLK Jr Dr & 83rd St"
"411","MLK Jr Dr & Pershing Rd"
"412","Monticello Ave & Irving Park Rd"
"413","Montrose Harbor"
"414","Morgan Ave & 14th Pl"
"415","Morgan St & 18th St"
"416","Morgan St & 31st St"
"417","Morgan St & Lake St"
"418","Morgan St & Pershing Rd"
"419","Morgan St & Polk St"
"420","Museum of Science and Industry"
"421","Noble St & Milwaukee Ave"
"422","Normal Ave & Archer Ave"
"423","Oakley Ave & Irving Park Rd"
"424","Oakley Ave & Touhy Ave"
"425","Ogden Ave & Chicago Ave"
"426","Ogden Ave & Congress Pkwy"
"427","Ogden Ave & Race Ave"
"428","Ogden Ave & Roosevelt Rd"
"429","Orleans St & Chestnut St NEXT Apts"
"430","Orleans St & Elm St"
"431","Orleans St & Hubbard St"
"432","Orleans St & Merchandise Mart Plaza"
"433","Paulina Ave & North Ave"
"434","Paulina St & 18th St"
"435","Paulina St & Flournoy St"
"436","Paulina St & Howard St"
"437","Paulina St & Montrose Ave"
"438","Peoria St & Jackson Blvd"
"439","Perry Ave & 69th St"
"440","Phillips Ave & 79th St"
"441","Phillips Ave & 83rd St"
"442","Pine Grove Ave & Irving Park Rd"
"443","Pine Grove Ave & Waveland Ave"
"444","Prairie Ave & 43rd St"
"445","Prairie Ave & Garfield Blvd"
"446","Princeton Ave & 47th St"
"447","Princeton Ave & Garfield Blvd"
"448","Pulaski Rd & Congress Pkwy"
"449","Pulaski Rd & Eddy St Temp"
"450","Pulaski Rd & Lake St"
"451","Racine Ave & 13th St"
"452","Racine Ave & 15th St"
"453","Racine Ave & 18th St"
"454","Racine Ave & 35th St"
"455","Racine Ave & 61st St"
"456","Racine Ave & 65th St"
"457","Racine Ave & Belmont Ave"
"458","Racine Ave & Congress Pkwy"
"459","Racine Ave & Fullerton Ave"
"460","Racine Ave & Garfield Blvd"
"461","Racine Ave & Randolph St"
"462","Racine Ave & Washington Blvd"
"463","Racine Ave & Wrightwood Ave"
"464","Racine Ave May St & Fulton St"
"465","Rainbow Beach"
"466","Ravenswood Ave & Berteau Ave"
"467","Ravenswood Ave & Irving Park Rd"
"468","Ravenswood Ave & Lawrence Ave"
"469","Rhodes Ave & 32nd St"
"470","Rhodes Ave & 71st St"
"471","Richmond St & Diversey Ave"
"472","Ridge Blvd & Howard St"
"473","Ridge Blvd & Touhy Ave"
"474","Ritchie Ct & Banks St"
"475","Rockwell St & Eastwood Ave"
"476","Rush St & Cedar St"
"477","Rush St & Hubbard St"
"478","Rush St & Superior St"
"479","Sacramento Blvd & Franklin Blvd"
"480","Sangamon St & Washington Blvd"
"481","Sawyer Ave & Irving Park Rd"
"482","Sedgwick St & Huron St"
"483","Sedgwick St & North Ave"
"484","Sedgwick St & Schiller St"
"485","Sedgwick St & Webster Ave"
"486","Seeley Ave & Garfield Blvd"
"487","Seeley Ave & Roscoe St"
"488","Shedd Aquarium"
"489","Sheffield Ave & Fullerton Ave"
"490","Sheffield Ave & Kingsbury St"
"491","Sheffield Ave & Waveland Ave"
"492","Sheffield Ave & Webster Ave"
"493","Sheffield Ave & Wellington Ave"
"494","Sheffield Ave & Willow St"
"495","Sheffield Ave & Wrightwood Ave"
"496","Sheridan Rd & Buena Ave"
"497","Sheridan Rd & Columbia Ave"
"498","Sheridan Rd & Greenleaf Ave"
"499","Sheridan Rd & Irving Park Rd"
"500","Sheridan Rd & Lawrence Ave"
"501","Sheridan Rd & Loyola Ave"
"502","Sheridan Rd & Montrose Ave"
"503","Sheridan Rd & Noyes St NU"
"504","Shields Ave & 28th Pl"
"505","Shields Ave & 31st St"
"506","Shields Ave & 43rd St"
"507","Shore Dr & 55th St"
"508","Smith Park"
"509","South Chicago Ave & 83rd St"
"510","South Chicago Ave & Elliot Ave"
"511","South Shore Dr & 67th St"
"512","South Shore Dr & 71st St"
"513","South Shore Dr & 74th St"
"514","Southport Ave & Belmont Ave"
"515","Southport Ave & Clark St"
"516","Southport Ave & Clybourn Ave"
"517","Southport Ave & Irving Park Rd"
"518","Southport Ave & Roscoe St"
"519","Southport Ave & Waveland Ave"
"520","Southport Ave & Wellington Ave"
"521","Southport Ave & Wrightwood Ave"
"522","Spaulding Ave & Armitage Ave"
"523","Spaulding Ave & Division St"
"524","Special Events"
"525","St. Clair St & Erie St"
"526","St. Louis Ave & Balmoral Ave"
"527","State St & 19th St"
"528","State St & 29th St"
"529","State St & 33rd St"
"530","State St & 35th St"
"531","State St & 54th St"
"532","State St & 76th St"
"533","State St & 79th St"
"534","State St & Harrison St"
"535","State St & Kinzie St"
"536","State St & Pearson St"
"537","State St & Pershing Rd"
"538","State St & Randolph St"
"539","State St & Van Buren St"
"540","Stave St & Armitage Ave"
"541","Stetson Ave & South Water St"
"542","Stewart Ave & 63rd St"
"543","Stockton Dr & Wrightwood Ave"
"544","Stony Island Ave & 64th St"
"545","Stony Island Ave & 67th St"
"546","Stony Island Ave & 71st St"
"547","Stony Island Ave & 75th St"
"548","Stony Island Ave & 82nd St"
"549","Stony Island Ave & South Chicago Ave"
"550","Streeter Dr & Grand Ave"
"551","Talman Ave & Addison St"
"552","Theater on the Lake"
"553","Throop Loomis St & Taylor St"
"554","Throop St & 52nd St"
"555","Troy St & Elston Ave"
"556","Troy St & North Ave"
"557","TS ~ DIVVY PARTS TESTING"
"558","Union Ave & Root St"
"559","University Ave & 57th St"
"560","University Library NU"
"561","Valli Produce - Evanston Plaza"
"562","Vernon Ave & 75th St"
"563","Vernon Ave & 79th St"
"564","Vincennes Ave & 75th St"
"565","Wabash Ave & 16th St"
"566","Wabash Ave & 83rd St"
"567","Wabash Ave & 87th St"
"568","Wabash Ave & 9th St"
"569","Wabash Ave & Adams St"
"570","Wabash Ave & Cermak Rd"
"571","Wabash Ave & Grand Ave"
"572","Wabash Ave & Roosevelt Rd"
"573","Wabash Ave & Wacker Pl"
"574","Wacker Dr & Washington St"
"575","Wallace St & 35th St"
"576","Walsh Park"
"577","Warren Park East"
"578","Warren Park West"
"579","Washtenaw Ave & Lawrence Ave"
"580","Washtenaw Ave & Ogden Ave"
"581","Wells St & 19th St"
"582","Wells St & Concord Ln"
"583","Wells St & Elm St"
"584","Wells St & Evergreen Ave"
"585","Wells St & Hubbard St"
"586","Wells St & Huron St"
"587","Wells St & Polk St"
"588","Wells St & Walton St"
"589","Wentworth Ave & 24th St"
"590","Wentworth Ave & 24th St Temp"
"591","Wentworth Ave & 33rd St"
"592","Wentworth Ave & 35th St"
"593","Wentworth Ave & 63rd St"
"594","Wentworth Ave & Cermak Rd Temp"
"595","Western Ave & 21st St"
"596","Western Ave & 24th St"
"597","Western Ave & 28th St"
"598","Western Ave & Congress Pkwy"
"599","Western Ave & Division St"
"600","Western Ave & Fillmore St"
"601","Western Ave & Granville Ave"
"602","Western Ave & Howard St"
"603","Western Ave & Leland Ave"
"604","Western Ave & Lunt Ave"
"605","Western Ave & Monroe St"
"606","Western Ave & Roscoe St"
"607","Western Ave & Walton St"
"608","Western Ave & Winnebago Ave"
"609","Western Blvd & 48th Pl"
"610","Wilton Ave & Belmont Ave"
"611","Wilton Ave & Diversey Pkwy"
"612","Winchester Ave & Elston Ave"
"613","Winchester Ravenswood Ave & Balmoral Ave"
"614","Winthrop Ave & Lawrence Ave"
"615","Wolcott Ave & Fargo Ave"
"616","Wolcott Ave & Polk St"
"617","Wolcott Ravenswood Ave & Montrose Ave"
"618","Wolcott Ravenswood Ave & Montrose Ave ()"
"619","Wood St & 35th St"
"620","Wood St & Augusta Blvd"
"621","Wood St & Chicago Ave"
"622","Wood St & Hubbard St"
"623","Wood St & Milwaukee Ave"
"624","Wood St & Taylor St"
"625","Woodlawn Ave & 55th St"
"626","Woodlawn Ave & 75th St"
"627","Woodlawn Ave & Lake Park Ave"
"628","Yates Blvd & 75th St"
